item_id,penman_notation
B.256,"# ::tok Responsibility is vital in group discipline .
(v / vital~2
    :domain (r / responsible-01~0)
    :topic (d / discipline~5
        :mod (g / group~4)))
"
B.257,"# ::tok This is an occasion for celebration .
(o / occasion-02~3
    :ARG0 (t / this~0)
    :ARG1 (c / celebrate-02~5))
"
B.258,"# ::tok Used to be a truck driver .
(p / person~5
    :ARG0-of (d / drive-01~5
        :ARG1 (t / truck~4)
        :time (u / use-03~0)))
"
B.259,"# ::tok And it was boring and miserable .
(a / and~0
    :op2 (a2 / and~4
        :op1 (b / bore-02~3
            :ARG0 (i / it~1))
        :op2 (m / miserable~5
            :domain i)))
"
B.260,"# ::tok You planted this garden , did you ?
(p / plant-01~1
    :ARG0 (y / you~0)
    :ARG1 (g / garden~3
        :mod (t / this~2))
    :ARG1-of (r / request-confirmation-91~7))
"
B.261,"# ::tok The four of them silently embraced .
(e / embrace-01~5
    :ARG0 (p / person~2
        :quant 4~1)
    :manner (s / silent~4))
"
B.262,"# ::tok But the job with the blacksmith ?
(c / contrast-01~0
    :ARG2 (j / job~2
        :polarity (a / amr-unknown~6)
        :poss (b / blacksmith~5)))
"
B.263,"# ::tok The slick slide of moist flesh .
(s2 / slide-01~2
    :ARG1 (f / flesh~5
        :ARG1-of (m / moist-02~4))
    :mod (s / slick~1))
"
B.264,"# ::tok Become someone successful , or even famous .
(b / become-01~0
    :ARG1 (y / you~0)
    :ARG2 (s / someone~1
        :ARG0-of (s2 / succeed-01~2)
        :ARG1-of (f / fame-01~6
            :mod (e / even~5)))
    :mode imperative~0)
"
B.265,"# ::tok I suddenly feel shy and embarrassed .
(f / feel-01~2
    :ARG0 (i / i~0)
    :ARG1 (a / and~4
        :op1 (s / shy-away-01~3
            :ARG0 i)
        :op2 (e / embarrass-01~5
            :ARG1 i))
    :manner (s2 / sudden~1))
"
B.266,"# ::tok And some green beans and tomatoes .
(a / and~0
    :op2 (a2 / and~4
        :op1 (b / bean~3
            :quant (s / some~1)
            :ARG1-of (g / green-02~2))
        :op2 (t / tomato~5
            :quant (s2 / some~1))))
"
B.267,"# ::tok She 'd have to tread very carefully .
(o / obligate-01~2
    :ARG2 (t / tread-01~4
        :ARG0 (s / she~0)
        :ARG1-of (c / care-04~6
            :degree (v / very~5))))
"
B.268,"# ::tok The clinic was for AIDS patients .
(h / have-purpose-91~3
    :ARG1 (c / clinic~1)
    :ARG2 (p2 / person~5
        :ARG0-of (h2 / have-rel-role-91~5
            :ARG2 (p / patient~5
                :mod (d / disease~4
                    :name (n / name~4
                        :op1 ""AIDS""~4))))))
"
B.269,"# ::tok The next day , he was gone .
(g / go-02~6
    :ARG0 (h / he~4)
    :time (d / day~2
        :mod (n / next~1)))
"
B.270,"# ::tok No response to known prescription drugs .
(r / respond-01~1
    :ARG1 (d / drug~5
        :ARG1-of (p / prescribe-02~4)
        :ARG1-of (k / know-01~3))
    :polarity -~0)
"
B.271,"# ::tok Morals and spirituality would become obsolete .
(b / become-01~4
    :ARG1 (a / and~1
        :op1 (m / moral~0)
        :op2 (s / spirituality~2))
    :ARG2 (o / obsolete~5))
"
B.272,"# ::tok Or was she purposely ignoring it ?
(o / or~0
    :op2 (i / ignore-01~4
        :ARG0 (s / she~2)
        :ARG1 (i2 / it~5)
        :manner (p / purpose~3)
        :polarity (a / amr-unknown~6)))
"
B.273,"# ::tok Trying to hide from your lies ?
(t / try-01~0
    :ARG0 (y / you~4)
    :ARG1 (h / hide-01~2
        :ARG0 y
        :ARG2 (l / lie-08~5
            :ARG0 y))
    :polarity (a / amr-unknown~6))
"
B.274,"# ::tok That blade will cut through anything .
(c / cut-01~3
    :ARG0 (b / blade~1
        :mod (t / that~0))
    :path (a / anything~5))
"
B.275,"# ::tok The problem is the surveillance cameras .
(p / problem~1
    :domain (c / camera~5
        :ARG0-of (s / surveil-01~4)))
"
B.276,"# ::tok A work of art in itself .
(w / work-01~1
    :mod (a / art~3))
"
B.277,"# ::tok Bare concrete floor met unpainted drywall .
(m / meet-03~3
    :ARG0 (f / floor~2
        :mod (c / concrete~1
            :ARG1-of (b / bare-02~0)))
    :ARG1 (d / drywall~5
        :ARG1-of (p / paint-01~4
            :polarity -~4)))
"
B.278,"# ::tok He asked , still sounding utterly disinterested .
(a / ask-01~1
    :ARG0 (h / he~0)
    :manner (s / sound-01~4
        :ARG1 h
        :ARG2 (i / interest-01~6
            :ARG1-of (u / utter-02~5)
            :ARG2 h)
        :mod (s2 / still~3)))
"
B.279,"# ::tok Or threaten them in some way ?
(o / or~0
    :op2 (t2 / threaten-01~1
        :ARG2 (t / they~2)
        :manner (w / way~5
            :mod (s / some~4))
        :polarity (a / amr-unknown~6)))
"
B.280,"# ::tok In them was sorrow and anger .
(a / and~4
    :location (t / they~1)
    :op1 (s / sorrow-01~3)
    :op2 (a2 / anger-01~5))
"
B.281,"# ::tok The signal was one of power .
(s / signal~1
    :consist-of (p / power~5))
"
B.282,"# ::tok The one seen at the murder ?
(o / one~1
    :ARG1-of (s / see-01~2
        :time (m / murder-01~5))
    :polarity (a / amr-unknown~6))
"
B.283,"# ::tok A game of football , I suggest ?
(s / suggest-01~6
    :ARG0 (i / i~5)
    :ARG1 (g / game~1
        :mod (f / football~3))
    :polarity (a / amr-unknown~7))
"
B.284,"# ::tok And so very thoughtful of you .
(a / and~0
    :op2 (t / thoughtful~3
        :degree (v / very~2
            :degree (s / so~1))
        :domain (y / you~5)))
"
B.285,"# ::tok Were all the vampire stories true ?
(t / true-01~5
    :ARG1 (s / story~4
        :mod (a / all~1)
        :topic (v / vampire~3))
    :polarity (a2 / amr-unknown~6))
"
B.286,"# ::tok What else remained from the communism ?
(r / remain-01~2
    :ARG1 (a / amr-unknown~0
        :mod (e / else~1))
    :source (p / political-movement~5
        :name (n / name~5
            :op1 ""communism""~5)))
"
B.287,"# ::tok We could have increased cosmic radiation .
(p / possible-01~1
    :ARG1 (i / increase-01~3
        :ARG0 (w / we~0)
        :ARG1 (t / thing~5
            :ARG1-of (r / radiate-01~5)
            :mod (c / cosmic~4))))
"
B.288,"# ::tok I 'm not teaching middle school here .
(t / teach-01~3
    :ARG0 (i / i~0)
    :ARG1 (m / middle-school~4)
    :location (h / here~6)
    :polarity -~2)
"
B.289,"# ::tok Please send for him at once .
(s / send-01~1
    :ARG0 (y / you~0)
    :ARG2 (h / he~3)
    :mode imperative~0
    :polite +~0
    :time (a / at-once-01~4))
"
B.290,"# ::tok The court continued on , as expected .
(c / continue-01~2
    :ARG0 (c2 / court~1)
    :ARG1-of (e / expect-01~6))
"
B.291,"# ::tok He just laughs when we weep .
(l / laugh-01~2
    :ARG0 (h / he~0)
    :mod (j / just~1)
    :time (w2 / weep-01~5
        :ARG0 (w / we~4)))
"
B.292,"# ::tok Fortunately , she was not easily deterred .
(d / deter-01~6
    :ARG1 (s / she~2)
    :ARG1-of (e / easy-05~5
        :polarity -~4)
    :ARG2-of (f / fortunate-01~0))
"
B.293,"# ::tok For every room of the house .
(r / rate-entity-91~0
    :ARG2 (r2 / room~2
        :mod (e / every~1)
        :part-of (h / house~5)))
"
B.294,"# ::tok The building housed a great hall .
(h2 / house-01~2
    :ARG0 (b / building~1)
    :ARG1 (h / hall~5
        :mod (g / great~4)))
"
B.295,"# ::tok The sometimes cruel and hateful road .
(r / road~5
    :ARG0-of (h / hate-01~4)
    :frequency (s / sometimes~1)
    :mod (c / cruel~2))
"
B.296,"# ::tok Color - wise , silver and pink are good .
(g / good-02~8
    :ARG1 (a / and~5
        :op1 (s / silver~4)
        :op2 (p / pink-04~6))
    :topic (c / color-01~0))
"
B.297,"# ::tok There are seldom any other kind .
(k / kind~5
    :frequency (s / seldom~2)
    :mod (o / other~4)
    :mod (a / any~3))
"
B.298,"# ::tok Plus there be laws and rules .
(a / and~0
    :op1 (l / law~3)
    :op2 (r / rule~5))
"
B.299,"# ::tok She makes me brush my hair .
(m / make-02~1
    :ARG0 (s / she~0)
    :ARG1 (b / brush-01~3
        :ARG0 (i / i~2
            :part (h / hair~5))
        :ARG1 h))
"
B.300,"# ::tok His soul sang with the music .
(s / sing-01~2
    :ARG0 (s2 / soul~1
        :part-of (h / he~0))
    :accompanier (m / music~5))
"
B.301,"# ::tok His knee pressed on my neck .
(p / press-01~2
    :ARG1 (k / knee~1
        :part-of (h / he~0))
    :ARG2 (n / neck~5
        :part-of (i / i~4)))
"
B.302,"# ::tok She could move undetected and untouched .
(p / possible-01~1
    :ARG1 (m / move-01~2
        :ARG1 (s / she~0
            :ARG1-of (d / detect-01~3
                :polarity -~3))
        :ARG1-of (t / touch-01~5
            :polarity -~5)))
"
B.303,"# ::tok The military forces of the colony .
(f / force~2
    :mod (m / military~1)
    :poss (c / colony~5))
"
B.304,"# ::tok His mental anxiety had no outlet .
(h / have-03~3
    :ARG0 (a / anxiety~2
        :mod (m / mental~1)
        :poss (h2 / he~0))
    :ARG1 (o / outlet~5)
    :polarity -~4)
"
B.305,"# ::tok Forgive me if I frighten you .
(f / forgive-01~0
    :ARG0 (y / you~0)
    :ARG1 (i / i~1)
    :condition (f2 / frighten-01~4
        :ARG0 y
        :ARG1 i))
"
B.306,"# ::tok I 'm also hiring an office assistant .
(h / hire-01~3
    :ARG0 (i / i~0)
    :ARG1 (p / person~6
        :ARG0-of (a2 / assist-01~6
            :ARG1 (o / office~5)))
    :mod (a / also~2))
"
B.307,"# ::tok Read the book , sign the forms .
(a / and~3
    :op1 (r / read-01~0
        :ARG0 (y / you~0)
        :ARG1 (b / book~2)
        :mode imperative~0)
    :op2 (s / sign-01~4
        :ARG0 y
        :ARG1 (f / form~6)
        :mode imperative~4))
"
B.308,"# ::tok State your name for the Council .
(s / state-01~0
    :ARG0 (y / you~0)
    :ARG1 (n / name~2
        :poss y)
    :beneficiary (c / council~5)
    :mode imperative~0)
"
B.309,"# ::tok Like an idiot , I 'd believed her .
(b / believe-01~6
    :ARG0 (i / i~4)
    :ARG1 (s / she~7)
    :ARG1-of (r / resemble-01~0
        :ARG2 (i2 / idiot~2)))
"
B.310,"# ::tok Remember the sound of his voice .
(r / remember-01~0
    :ARG0 (y / you~0)
    :ARG1 (s / sound-02~2
        :ARG1 (v / voice~5
            :poss (h / he~4)))
    :mode imperative~0)
"
B.311,"# ::tok Sugar would help restore our energy .
(h / help-01~2
    :ARG1 (r / restore-02~3
        :ARG1 (e / energy~5
            :poss (w / we~4)))
    :rel (a / any~0))
"
B.312,"# ::tok He felt his stomach for blood .
(f / feel-01~1
    :ARG0 (h / he~0
        :part (s / stomach~3))
    :ARG1 s
    :ARG2 (b / blood~5))
"
B.313,"# ::tok I certainly would n't wear dress pants .
(w / wear-01~4
    :ARG0 (i / i~0)
    :ARG1 (p / pants~6
        :mod (d / dress~5))
    :mod (c / certain~1)
    :polarity -~3)
"
B.314,"# ::tok Recognize your picture from the paper .
(r / recognize-02~0
    :ARG1 (p2 / picture~2
        :poss (y / you~1)
        :source (p / paper~5)))
"
B.315,"# ::tok Great water pressure in those pipes .
(p2 / pressure-01~2
    :ARG1 (w / water~1)
    :location (p / pipe~5
        :mod (t / that~4))
    :mod (g / great~0))
"
B.316,"# ::tok Geometric theory applied to puzzle making ?
(a2 / apply-02~2
    :ARG1 (t / theory~1
        :mod (m2 / mathematics~0))
    :ARG2 (m / make-01~5
        :ARG1 (p / puzzle~4))
    :polarity (a / amr-unknown~6))
"
B.317,"# ::tok His cell was functional , if unoriginal .
(f / function-01~3
    :ARG0 (c / cell~1
        :part-of (h / he~0))
    :condition (o / original~6
        :polarity -~6))
"
B.318,"# ::tok From northern waste to southern hill .
(h / hill~5
    :destination (w / waste-01~2
        :source (n / north~1))
    :mod (s / south~4))
"
B.319,"# ::tok They never caused me any harm .
(h / harm-01~5
    :ARG0 (t / they~0)
    :ARG1 (i / i~3)
    :mod (a / any~4)
    :polarity -~1
    :time (e / ever~1))
"
B.320,"# ::tok Do you worship at their temple ?
(w / worship-01~2
    :ARG0 (y / you~1)
    :location (t / temple~5
        :poss (t2 / they~4))
    :polarity (a / amr-unknown~6))
"
B.321,"# ::tok They definitely had a close relationship .
(r / relation-03~5
    :ARG0 (t / they~0)
    :ARG1-of (c / close-13~4)
    :mod (d / definite~1))
"
B.322,"# ::tok A tree covered with red berries .
(t / tree~1
    :ARG1-of (c / cover-02~2
        :ARG2 (f / fruit~5
            :ARG1-of (r / red-02~4))))
"
B.323,"# ::tok From some historian his father met .
(b / be-from-91~0
    :ARG2 (h3 / historian~2
        :ARG1-of (m / meet-02~5
            :ARG0 (p / person~4
                :ARG0-of (h / have-rel-role-91~4
                    :ARG1 (h2 / he~3)
                    :ARG2 (f / father~4))))
        :mod (s / some~1)))
"
B.324,"# ::tok Her safety is of utmost importance .
(i / important-01~5
    :ARG1 (s / safe-01~1
        :ARG1 (s2 / she~0))
    :degree (u / utmost~4))
"
B.325,"# ::tok Vegetable soup and a turkey sandwich .
(a / and~2
    :op1 (s2 / soup~1
        :mod (v / vegetable~0))
    :op2 (s / sandwich~5
        :mod (t / turkey~4)))
"
B.326,"# ::tok But nothing like those stomach cramps .
(c / contrast-01~0
    :ARG2 (r / resemble-01~2
        :ARG2 (c2 / cramp-01~5
            :ARG1 (s / stomach~4)
            :mod (t / that~3))
        :polarity -~1))
"
B.327,"# ::tok A creature both demon and beast .
(c / creature~1
    :domain (a / and~4
        :mod (b2 / both~2)
        :op1 (d / demon~3)
        :op2 (b / beast~5)))
"
B.328,"# ::tok It would n't be any fun otherwise .
(f / fun-01~5
    :condition (h / have-polarity-91~6
        :ARG1 -~2
        :time (e / ever~6))
    :mod (a / any~4)
    :polarity -~2)
"
B.329,"# ::tok Bright lights shining in my eyes .
(s / shine-01~2
    :ARG0 (l / light~1
        :ARG1-of (b / bright-02~0))
    :ARG2 (e / eye~5
        :part-of (i / i~4)))
"
B.330,"# ::tok She suffered from degenerative kidney disease .
(s2 / suffer-01~1
    :ARG0 (s / she~0)
    :ARG1 (d2 / disease~5
        :ARG1-of (d / degenerate-01~3)
        :mod (k / kidney~4)))
"
B.331,"# ::tok My price , however , was much higher .
(c / contrast-01~3
    :ARG2 (h2 / high-02~7
        :ARG1 (p / price~1
            :poss (i / i~0))
        :ARG2-of (h / have-degree-91~7
            :ARG1 p
            :ARG3 (m / more~7
                :quant (m2 / much~6)))))
"
B.332,"# ::tok But I may be incredibly ill - advised .
(c / contrast-01~0
    :ARG2 (p / possible-01~2
        :ARG1 (a / advise-01~7
            :ARG0 (i / i~1)
            :ARG1-of (i2 / ill-02~5
                :degree (i3 / incredible~4)))))
"
B.333,"# ::tok No chemical odor , merely salt water .
(c2 / contrast-01~3
    :ARG1 (o / odor~2
        :mod (c / chemical~1)
        :polarity -~0)
    :ARG2 (w / water~6
        :mod (s / salt~5)
        :mod (m / mere~4)))
"
B.334,"# ::tok It was a breaking news report .
(r / report-01~5
    :ARG1 (n / news~4
        :ARG1-of (b / break-13~3))
    :domain (i / it~0))
"
B.335,"# ::tok They pay good money for it .
(p / pay-01~1
    :ARG0 (t / they~0)
    :ARG1 (m / money~3
        :ARG1-of (g / good-02~2))
    :ARG3 (i / it~5))
"
B.336,"# ::tok He put the car in gear .
(p / put-01~1
    :ARG0 (h / he~0)
    :ARG1 (c / car~3)
    :ARG2 (g / gear~5))
"
B.337,"# ::tok Wearing jeans and a black coat .
(w / wear-01~0
    :ARG1 (a / and~2
        :op1 (j / jeans~1)
        :op2 (c / coat~5
            :ARG1-of (b / black-04~4))))
"
B.338,"# ::tok Thin metal lock - picking tools lay inside .
(l / lay-01~6
    :ARG1 (t2 / tool~5
        :ARG0-of (p / pick-01~4
            :ARG1 (l2 / lock-01~2))
        :ARG1-of (t / thin-03~0)
        :consist-of (m / metal~1))
    :ARG2 (i / inside~7))
"
B.339,"# ::tok Oh , and an amusing little monkey .
(a2 / and~2
    :mod (o / oh~0)
    :op2 (m / monkey~6
        :ARG0-of (a / amuse-01~4)
        :mod (l / little~5)))
"
B.340,"# ::tok It would only delay the inevitable .
(d / delay-01~3
    :ARG0 (i / it~0)
    :ARG1 (t / thing~4
        :ARG1-of (a / avoid-01~5
            :ARG1-of (p / possible-01~5
                :polarity -~5)))
    :mod (o / only~2))
"
B.341,"# ::tok The glass in the frame broke .
(b / break-01~5
    :ARG1 (g / glass~1
        :location (f / frame~4)))
"
B.342,"# ::tok Pull the pin and throw it !
(a / and~3
    :op1 (p2 / pull-01~0
        :ARG0 (y / you~0)
        :ARG1 (p / pin~2)
        :mode imperative~0)
    :op2 (t / throw-01~4
        :ARG0 y
        :ARG1 p
        :mode imperative~4))
"
B.343,"# ::tok Another mourner , another well - wisher , another liar .
(a / and~7
    :op1 (p / person~1
        :ARG0-of (m / mourn-01~1)
        :mod (a2 / another~0))
    :op2 (p2 / person~6
        :ARG0-of (w2 / wish-01~6
            :ARG1 (w / well-09~4))
        :mod (a3 / another~3))
    :op3 (p3 / person~9
        :ARG0-of (l / lie-08~9)
        :mod (a4 / another~8)))
"
B.344,"# ::tok Thou shalt not accede to evil .
(r / recommend-01~1
    :ARG1 (a / accede-01~3
        :ARG0 (y / you~0)
        :ARG1 (e / evil~5)
        :polarity -~2)
    :ARG2 y)
"
B.345,"# ::tok One tug , and he went flying .
(a / and~3
    :op1 (t / tug-02~1
        :quant 1~0)
    :op2 (g / go-01~5
        :ARG1 (h / he~4)
        :ARG4 (f / fly-01~6
            :ARG1 h)))
"
B.346,"# ::tok She was beauty and gentleness personified .
(p / person~5
    :ARG2-of (p2 / personify-01~5
        :ARG1 (s / she~0))
    :domain (a / and~3
        :op1 (b / beautiful-02~2)
        :op2 (g / gentle~4)))
"
B.347,"# ::tok Hotel is just around the corner .
(b / be-located-at-91~3
    :ARG1 (h / hotel~0)
    :ARG2 (a / around~3
        :mod (j / just~2)
        :op1 (c / corner~5)))
"
B.348,"# ::tok Understand the meaning of the word .
(u / understand-01~0
    :ARG1 (t / thing~1
        :ARG2-of (m / mean-01~2
            :ARG1 (w / word~5))))
"
B.349,"# ::tok Let 's hope the best team wins .
(h2 / hope-01~2
    :ARG0 (w / we~0)
    :ARG1 (w2 / win-01~6
        :ARG0 (t / team~5
            :ARG1-of (h / have-degree-91~4
                :ARG2 (g / good-03~4
                    :ARG1 t)
                :ARG3 (m / most~4))))
    :mode imperative~0)
"
B.350,"# ::tok They need access to our computers .
(n / need-01~1
    :ARG0 (t / they~0)
    :ARG1 (a / access-01~2
        :ARG0 t
        :ARG1 (c / computer~5
            :poss (w / we~4))))
"
B.351,"# ::tok Do not betray me in this .
(b / betray-01~2
    :ARG0 (y / you~0)
    :ARG1 (i / i~3)
    :mode imperative~0
    :polarity -~1
    :topic (t / this~5))
"
B.352,"# ::tok And she smiled , a little nervously .
(a / and~0
    :op2 (s2 / smile-01~2
        :ARG0 (s / she~1)
        :ARG2-of (n / nervous-01~6
            :ARG1 s
            :degree (l / little~5))))
"
B.353,"# ::tok How can they just expel you ?
(p / possible-01~1
    :ARG1 (e / expel-01~4
        :ARG0 (t / they~2)
        :ARG1 (y / you~5)
        :mod (j / just~3))
    :manner (a / amr-unknown~0))
"
B.354,"# ::tok And with your arrogance , it seems .
(a / and~0
    :op2 (s / seem-01~6
        :ARG1 (a2 / arrogance~3
            :poss (y / you~2))))
"
B.355,"# ::tok We have to go single file .
(o / obligate-01~1
    :ARG1 (w / we~0)
    :ARG2 (g / go-02~3
        :ARG0 w
        :manner (f / file~5
            :ARG1-of (s / single-02~4))))
"
B.356,"# ::tok He sneered contemptuously at the Daimons .
(s / sneer-01~1
    :ARG0 (h / he~0)
    :ARG2 (f / family~5
        :name (n / name~5
            :op1 ""D""~5))
    :manner (c / contemptible~2))
"
B.357,"# ::tok Cod , orange roughy , salmon , and tuna .
(a / and~4
    :op1 (f / fish-01~0)
    :op2 (s / salmon~5)
    :op3 (t / tuna~8)
    :rel (o / orange~2)
    :rel (r / rough~3))
"
B.358,"# ::tok Precious , beautiful , worth seeking the best .
(a / and~1
    :op1 (p / precious~0)
    :op2 (b / beautiful-02~2)
    :op3 (w / worth-02~4
        :ARG2 (s / seek-01~5
            :ARG1 (t / thing~6
                :ARG1-of (h / have-degree-91~7
                    :ARG2 (g / good-02~7
                        :ARG1 t)
                    :ARG3 (m / most~7))))))
"
B.359,"# ::tok Sparrows and pigeons , no other birds .
(c / contrast-01~3
    :ARG1 (a / and~1
        :op1 (b / bird~0)
        :op2 (b2 / bird~2))
    :ARG2 (b3 / bird~6
        :mod (o / other~5)
        :polarity -~4))
"
B.360,"# ::tok Their hearts beat in rhythm together .
(b / beat-01~2
    :ARG1 (h / heart~1
        :part-of (t / they~0))
    :manner (r / rhythm~4)
    :mod (t2 / together~5))
"
B.361,"# ::tok General personality : Generous , conscientious , amiable , loyal .
(p / personality~1
    :domain (a2 / and~4
        :op1 (g2 / generous-01~3)
        :op2 (c / conscientious~5)
        :op3 (a / amiable~7)
        :op4 (l / loyal-01~9))
    :mod (g / general~0))
"
B.362,"# ::tok This is really amazing , Doctor Face - reader .
(s / say-01~4
    :ARG0 (i / i~4)
    :ARG1 (a / amaze-01~3
        :ARG0 (t / this~0)
        :degree (r2 / really~2))
    :ARG2 (d / doctor~5
        :name (n / name~5
            :op1 ""Doctor""~5))
    :ARG3 (p / person~8
        :ARG0-of (r / read-01~8
            :ARG1 (f / face~6))
        :mod d))
"
B.363,"# ::tok Possibly the bacteria that causes plague .
(p / possible-01~0
    :ARG1 (b / bacterium~2
        :ARG0-of (c / cause-01~4
            :ARG1 (d / disease~5
                :name (n / name~5
                    :op1 ""Plague""~5)))))
"
B.364,"# ::tok That had a bitter almond scent .
(s / smell-02~5
    :ARG1 (t / that~0)
    :ARG2 (a / almond~4
        :mod (b / bitter~3)))
"
B.365,"# ::tok Quintessential sound of a peaceful night .
(s2 / sound-02~1
    :ARG1 (n / night~5
        :mod (p / peaceful~4))
    :mod (s / simple~0))
"
B.366,"# ::tok The large restaurant was cafeteria style .
(s / style~5
    :domain (r / restaurant~2
        :mod (l / large~1))
    :mod (c / cafeteria~4))
"
B.367,"# ::tok They put us in jail , Johnny !
(s / say-01~5
    :ARG1 (p2 / put-01~1
        :ARG0 (t / they~0)
        :ARG1 (w / we~2)
        :ARG2 (j / jail~4))
    :ARG2 (p / person~6
        :name (n / name~6
            :op1 ""Johnny""~6)))
"
B.368,"# ::tok You need me to protect you .
(n / need-01~1
    :ARG0 (y / you~0)
    :ARG1 (p / protect-01~4
        :ARG0 (i / i~2)
        :ARG1 y))
"
B.369,"# ::tok He was cruel and scary and -
(a / and~3
    :domain (h / he~0)
    :op1 (c / cruel~2)
    :op2 (s / scary-03~4
        :ARG0 h))
"
B.370,"# ::tok I made some silly assumptions , though .
(a / assume-02~4
    :quant (s2 / some~2)
    :ARG0 (i / i~0)
    :ARG1-of (h / have-concession-91~6)
    :mod (s / silly~3))
"
B.371,"# ::tok She collapsed onto the comfortable bed .
(c / collapse-01~1
    :ARG1 (s / she~0)
    :ARG4 (b / bed~5
        :ARG0-of (c2 / comfortable-02~4)))
"
B.372,"# ::tok It 's quite apparent we have problems .
(a / appear-02~3
    :ARG1 (h / have-03~5
        :ARG0 (w / we~4)
        :ARG1 (p / problem~6))
    :degree (q / quite~2))
"
B.373,"# ::tok Does he have a name badge ?
(h / have-03~2
    :ARG0 (h2 / he~1)
    :ARG1 (b / badge~5
        :mod (n / name~4))
    :polarity (a / amr-unknown~6))
"
B.374,"# ::tok An escalating excitement hurried her words .
(h / hurry-01~3
    :ARG0 (e2 / excite-01~2
        :ARG1 (s / she~4)
        :ARG1-of (e / escalate-01~1))
    :ARG2 (w / word-01~5
        :ARG0 s))
"
B.375,"# ::tok Nothing broken , just very badly bruised .
(c / contrast-01~2
    :ARG1 (b2 / break-01~1
        :ARG1 (n / nothing~0))
    :ARG2 (b3 / bruise-01~6
        :ARG1 n
        :ARG1-of (b / bad-05~5
            :degree (v / very~4))
        :mod (j / just~3)))
"
B.376,"# ::tok But he had a dog , yeah ?
(c / contrast-01~0
    :ARG1-of (r / request-confirmation-91~7)
    :ARG2 (h / have-03~2
        :ARG0 (h2 / he~1)
        :ARG1 (d / dog~4)))
"
B.377,"# ::tok Dirty , smelly clothes littered the floor .
(l / litter-01~4
    :ARG0 (c / clothe~3
        :ARG1-of (d / dirty-02~0)
        :mod (s / smelly~2))
    :ARG1 (f / floor~6))
"
B.378,"# ::tok Central Park was across the roadway .
(b / be-located-at-91~3
    :ARG1 (p / park~1
        :name (n / name~0
            :op1 ""Central""~0
            :op2 ""Park""~1))
    :ARG2 (a / across~3
        :op1 (r / roadway~5)))
"
B.379,"# ::tok The homeless woman obviously loved animals .
(l / love-01~4
    :ARG0 (w / woman~2
        :ARG0-of (h / have-03~1
            :ARG1 (h2 / home~1)))
    :ARG1 (a / animal~5)
    :ARG1-of (o / obvious-01~3))
"
B.380,"# ::tok The bag was leather , black , small .
(b / bag~1
    :ARG1-of (b2 / black-04~5)
    :mod (l / leather~3)
    :mod (s / small~7))
"
B.381,"# ::tok Like a late night comedy sketch .
(r / resemble-01~0
    :ARG2 (s / sketch~5
        :mod (c / comedy~4)
        :time (l / late~2
            :op1 (d / date-entity~3
                :dayperiod (n / night~3)))))
"
B.382,"# ::tok The healthiest , most nutritious food ever .
(a / and~2
    :op1 (h / have-degree-91~1
        :ARG1 (f / food~5
            :ARG1-of h)
        :ARG2 (h3 / healthy~1)
        :ARG3 (m / most~3))
    :op2 (h2 / have-degree-91~3
        :ARG1 f
        :ARG2 (n / nutritious~4)
        :ARG3 (m2 / most~3)
        :time (e / ever~6)))
"
B.383,"# ::tok Will you drink to that , boys ?
(t2 / truth-value~7
    :polarity-of (d / drink-01~2
        :ARG0 (b / boy~6)
        :beneficiary (t / that~4)))
"
B.384,"# ::tok At least three , maybe four kids .
(o / or~3
    :op1 (a / at-least~1
        :op1 3~2
        :quant-of (k / kid~6))
    :op2 (a2 / at-least~1
        :ARG1-of (p / possible-01~4)
        :op2 4~5))
"
B.385,"# ::tok That marriage ultimately ends in divorce ?
(e / end-01~3
    :ARG1 (m / marry-01~1
        :mod (t / that~0))
    :ARG2 (d / divorce-01~5)
    :polarity (a / amr-unknown~6)
    :time (u / ultimate~2))
"
B.386,"# ::tok That kind of understanding and kindness ...
(a / and~4
    :mod (k / kind~1
        :mod (t / that~0))
    :op1 (u / understand-01~3)
    :op2 (k2 / kind-01~5))
"
B.387,"# ::tok Why go and stir that pot ?
(c / cause-01~0
    :ARG0 (a / amr-unknown~0)
    :ARG1 (a2 / and~2
        :op1 (g / go-02~1)
        :op2 (s / stir-01~3
            :ARG1 (p / pot~5
                :mod (t / that~4)))))
"
B.388,"# ::tok Quite simply , it was becoming tiresome .
(b / become-01~5
    :ARG1 (i / it~3)
    :ARG1-of (s / simple-02~1
        :degree (q / quite~0))
    :ARG2 (t / tiresome~6))
"
B.389,"# ::tok I 'll show you my new dance .
(s / show-01~2
    :ARG0 (i / i~0)
    :ARG1 (d / dance-01~6
        :ARG0 i
        :ARG1-of (n / new-01~5))
    :ARG2 (y / you~3))
"
B.390,"# ::tok Something that awakened my psychic knowing .
(w / wake-01~2
    :ARG0 (s / something~0)
    :ARG1 (k / know-01~5
        :ARG0 (i / i~3)
        :mod (p / psychic~4)))
"
B.391,"# ::tok The protracted silence became almost unbearable .
(b / become-01~3
    :ARG1 (s / silence~2
        :ARG1-of (p2 / protract-01~1))
    :ARG2 (p / possible-01~5
        :ARG1 (t / tolerate-01~5
            :ARG0 s)
        :mod (a / almost~4)
        :polarity -~4))
"
B.392,"# ::tok With charming conversations and witty sparring .
(a / accompany-01~0
    :ARG0 (a2 / and~3
        :op1 (c2 / converse-01~2
            :ARG0-of (c / charm-01~1))
        :op2 (s / spar-01~5
            :mod (w / witty~4))))
"
